"Country","HaveWorkedLanguage","Frequency"
"Mongolia","CommonLisp",1
"Mongolia","Python",1
"Bangladesh","Lua",2
"Switzerland","Clojure",4
"Mongolia","VB.NET",1
"Dominican Republic","C",5
"Dominican Republic","Swift",4
"Tanzania","R",1
"Tanzania","SQL",8
"Georgia","TypeScript",6
"Taiwan","F#",1
"Taiwan","Groovy",1
"China","Groovy",2
"Armenia","C#",7
"Armenia","TypeScript",4
"Malawi","Python",1
"Malawi","SQL",1
"Ukraine","Groovy",8
"Laos","C++",1
"Laos","C#",1
"Laos","Java",1
"Laos","JavaScript",1
"Laos","Perl",1
"Laos","PHP",1
"Laos","Python",1
"Laos","R",1
"Laos","SQL",1
"Laos","Swift",1
"Laos","VB.NET",1
"Laos","VBA",1
"Uganda","Python",4
"Thailand","Swift",6
"Mauritius","C#",3
"Mauritius","PHP",2
"Mauritius","Python",1
"Mauritius","SQL",3
"Mauritius","VB.NET",2
"Uganda","C",5
"Uganda","Java",9
"Uganda","JavaScript",10
"Sri Lanka","VBA",2
"Moldavia","Swift",6
"Austria","Lua",10
"Denmark","Elixir",3
"Tanzania","Ruby",3
"Luxembourg","Python",11
"Kazakhstan","C++",5
"Kazakhstan","JavaScript",14
"Kazakhstan","Python",6
"Kazakhstan","Scala",1
"Gabon","C#",1
"Gabon","JavaScript",1
"Gabon","PHP",1
"Gabon","SQL",1
"Gabon","VB.NET",1
"Kazakhstan","VB.NET",2
"Kazakhstan","VisualBasic6",2
"Nigeria","TypeScript",13
"Moldavia","Objective-C",6
"Tunisia","Assembly",5
"Tunisia","VB.NET",4
"Tunisia","VBA",3
"Tunisia","VisualBasic6",1
"Austria","VisualBasic6",4
"Antarctica","Assembly",1
"Antarctica","C",3
"Antarctica","Go",3
"Antarctica","Haskell",1
"Antarctica","JavaScript",6
"Macedonia","C++",8
"Switzerland","Rust",3
"Honduras","JavaScript",2
"Serbia","CoffeeScript",1
"Argentina","Objective-C",4
"Argentina","Swift",4
"Nigeria","CoffeeScript",4
"Ecuador","Ruby",4
"Kazakhstan","Assembly",1
"Kazakhstan","PHP",8
"Liechtenstein","Groovy",1
"Liechtenstein","PHP",2
"South Africa","Go",9
"Spain","F#",3
"Albania","C++",11
"Iraq","Java",4
"Colombia","Lua",1
"Kazakhstan","Matlab",1
"Slovak Republic","Go",3
"Slovak Republic","Groovy",3
"Slovak Republic","Lua",8
"Slovak Republic","Scala",3
"Serbia","Go",5
"Macedonia","Groovy",1
"Romania","Lua",11
"New Zealand","Assembly",5
"Slovak Republic","Ruby",5
"Venezuela","Perl",3
"Venezuela","PHP",20
"Venezuela","Ruby",6
"Norway","Elixir",4
"South Africa","Rust",3
"Mexico","Julia",1
"Mexico","Matlab",5
"Colombia","VBA",2
"El Salvador","C#",4
"El Salvador","PHP",6
"Malaysia","VBA",4
"Brazil","F#",5
"Jordan","C++",6
"Jordan","Java",12
"Jordan","VisualBasic6",3
"Afghanistan","C",5
"Afghanistan","C++",5
"Afghanistan","Groovy",2
"Afghanistan","Hack",2
"Afghanistan","Java",4
"Dominican Republic","VisualBasic6",2
"Portugal","Perl",5
"Costa Rica","C",8
"Spain","Elixir",2
"Spain","Erlang",3
"Sri Lanka","Elixir",1
"Rwanda","Objective-C",1
"Rwanda","Swift",2
"Thailand","CommonLisp",1
"Thailand","Rust",2
"Hungary","Erlang",4
"Czech Republic","F#",3
"Switzerland","Julia",1
"Romania","Erlang",1
"Romania","F#",1
"South Africa","Groovy",5
"South Korea","Assembly",2
"South Korea","Lua",2
"Tunisia","Ruby",4
"Croatia","Haskell",2
"Croatia","R",3
"Macedonia","CommonLisp",2
"Ireland","Hack",1
"Belarus","R",1
"United Arab Emirates","Smalltalk",1
"Venezuela","VisualBasic6",6
"Brazil","Erlang",3
"Jordan","VB.NET",7
"Oman","Assembly",1
"Oman","C++",1
"Oman","Java",1
"Oman","JavaScript",3
"Oman","PHP",2
"Oman","SQL",3
"Hungary","F#",3
"Bulgaria","Perl",5
"I prefer not to say","Matlab",8
"Costa Rica","Matlab",3
"Costa Rica","PHP",13
"Costa Rica","VB.NET",7
"Chile","VB.NET",6
"Senegal","JavaScript",2
"Senegal","SQL",2
"Nicaragua","PHP",2
"United Kingdom","Dart",9
"Portugal","Julia",2
"Croatia","Lua",3
"Guatemala","Swift",4
"Zimbabwe","Java",5
"Zimbabwe","JavaScript",5
"Zimbabwe","PHP",3
"Hong Kong","R",3
"Kyrgyzstan","C#",3
"Kyrgyzstan","SQL",2
"Vietnam","CommonLisp",2
"Lithuania","Clojure",1
"Lithuania","Scala",3
"Afghanistan","Elixir",2
"Afghanistan","Objective-C",2
"Afghanistan","Python",2
"Afghanistan","Swift",1
"Afghanistan","TypeScript",1
"China","Erlang",1
"Slovenia","Rust",1
"Hungary","VisualBasic6",4
"Mongolia","Lua",1
"Italy","CommonLisp",3
"New Zealand","Lua",6
"Lithuania","Groovy",4
"Serbia","VisualBasic6",2
"Oman","TypeScript",1
"Reunion (French)","Java",2
"Peru","CoffeeScript",4
"Peru","TypeScript",4
"France","Julia",3
"Bulgaria","F#",2
"El Salvador","Python",7
"El Salvador","Ruby",3
"Croatia","Go",4
"Puerto Rico","Matlab",1
"Latvia","R",2
"Serbia","Clojure",3
"Turkey","Rust",1
"Bosnia-Herzegovina","C",9
"Slovak Republic","VB.NET",5
"China","Rust",1
"Venezuela","CommonLisp",1
"Venezuela","R",3
"Nigeria","VB.NET",12
"Vietnam","VBA",4
"Albania","Assembly",2
"New Zealand","Dart",3
"Kazakhstan","C",3
"Kazakhstan","VBA",1
"Australia","Dart",5
"New Zealand","Clojure",1
"Romania","VisualBasic6",10
"Nigeria","F#",2
"Nigeria","Objective-C",2
"Nigeria","Ruby",5
"Indonesia","F#",1
"Indonesia","TypeScript",8
"South Korea","CommonLisp",2
"South Korea","Matlab",6
"Serbia","VB.NET",3
"China","Haskell",4
"China","Perl",1
"South Africa","Scala",6
"Zaire","CoffeeScript",1
"Zaire","JavaScript",2
"Zaire","PHP",1
"Zaire","Python",1
"Zaire","SQL",2
"Saudi Arabia","Assembly",1
"Saudi Arabia","VB.NET",6
"Lithuania","Lua",3
"Lithuania","Perl",3
"Lithuania","Smalltalk",1
"Lithuania","Assembly",3
"Serbia","Objective-C",6
"Paraguay","CoffeeScript",1
"Paraguay","TypeScript",1
"South Korea","VB.NET",2
"South Korea","VBA",1
"South Korea","VisualBasic6",2
"Thailand","Objective-C",5
"Bangladesh","Go",3
"South Korea","Haskell",1
"South Korea","Ruby",2
"United Arab Emirates","Ruby",3
"Trinidad and Tobago","C++",3
"Trinidad and Tobago","Python",5
"Mongolia","Objective-C",1
"Belarus","Go",4
"Puerto Rico","C++",2
"Puerto Rico","Objective-C",1
"Puerto Rico","Swift",1
"Costa Rica","Lua",1
"Estonia","R",1
"Venezuela","TypeScript",3
"Jordan","C",4
"Jordan","Python",3
"Luxembourg","C++",6
"Luxembourg","CoffeeScript",3
"Luxembourg","Matlab",2
"Luxembourg","Ruby",3
"Cuba","SQL",8
"Thailand","Ruby",7
"Norway","Erlang",2
"Cuba","C#",7
"Cuba","Objective-C",1
"Cuba","Swift",2
"South Africa","VisualBasic6",9
"Croatia","F#",3
"Singapore","Dart",1
"Georgia","Haskell",2
"Georgia","PHP",12
"Cambodia","Java",3
"Cambodia","Objective-C",2
"Cambodia","SQL",3
"Cambodia","Swift",1
"Cambodia","VB.NET",4
"Cambodia","VBA",4
"Slovak Republic","VBA",2
"Taiwan","Clojure",1
"I prefer not to say","Perl",6
"Japan","VBA",3
"Romania","Clojure",3
"Romania","Haskell",8
"Rwanda","Assembly",1
"Rwanda","C",2
"Rwanda","C++",2
"Rwanda","C#",1
"Rwanda","Haskell",1
"Rwanda","Java",4
"Rwanda","Julia",1
"Rwanda","Lua",1
"Rwanda","Matlab",2
"Rwanda","PHP",3
"Rwanda","SQL",4
"Rwanda","VisualBasic6",1
"Cyprus","C",3
"Cyprus","Java",5
"Cyprus","Objective-C",3
"Cyprus","TypeScript",2
"Armenia","VisualBasic6",1
"Lebanon","Swift",3
"Tunisia","Python",9
"Latvia","Objective-C",2
"Latvia","Perl",3
"Israel","Julia",5
"Bolivia","CoffeeScript",1
"Bolivia","Elixir",1
"Bolivia","Ruby",4
"Thailand","Assembly",1
"Netherlands Antilles","JavaScript",2
"Netherlands Antilles","Scala",1
"Netherlands Antilles","SQL",2
"Romania","CommonLisp",4
"Ireland","Rust",1
"Norway","CoffeeScript",6
"Norway","Groovy",5
"Madagascar","JavaScript",4
"Madagascar","PHP",4
"Madagascar","Python",2
"Madagascar","SQL",4
"Ghana","Groovy",1
"Ghana","Objective-C",1
"Ghana","Swift",3
"Chile","TypeScript",2
"Nepal","Go",1
"Nepal","Haskell",1
"Nepal","Perl",3
"Nepal","R",3
"Nepal","Ruby",6
"Serbia","VBA",2
"Bulgaria","CoffeeScript",4
"Dominican Republic","VB.NET",5
"Venezuela","VB.NET",3
"Moldavia","Elixir",1
"Moldavia","Lua",2
"Moldavia","Matlab",2
"Moldavia","Perl",1
"Moldavia","Ruby",6
"Cuba","Go",1
"Cuba","Haskell",1
"Lebanon","Lua",1
"Lebanon","Python",4
"Portugal","Lua",7
"Chile","Scala",2
"Moldavia","Haskell",1
"Slovenia","Dart",1
"Malta","C",2
"Malta","C++",2
"Malta","Perl",1
"Malta","Ruby",1
"Iceland","Lua",1
"Iceland","Swift",5
"Saint Lucia","C#",2
"France","Erlang",12
"Guatemala","Elixir",1
"Morocco","CoffeeScript",2
"Morocco","Elixir",1
"Armenia","VBA",1
"China","Smalltalk",1
"Bolivia","Objective-C",3
"Bolivia","Swift",3
"Nepal","Groovy",1
"Thailand","Clojure",1
"Kenya","Objective-C",3
"Kenya","VB.NET",5
"Iran","CoffeeScript",5
"Spain","Julia",2
"South Korea","R",4
"Ukraine","Clojure",1
"Sri Lanka","Erlang",4
"United Arab Emirates","Assembly",1
"Algeria","C",4
"Algeria","C++",6
"Kyrgyzstan","C++",1
"Czech Republic","Erlang",1
"Monaco","Assembly",1
"Luxembourg","Lua",2
"Fiji","C++",1
"Fiji","C#",2
"Fiji","Python",1
"Ukraine","VisualBasic6",4
"Morocco","Assembly",3
"Ghana","Ruby",4
"Vietnam","VisualBasic6",4
"Malaysia","Objective-C",10
"Malaysia","Swift",6
"Costa Rica","C++",9
"Switzerland","Erlang",1
"Cuba","Java",8
"Uruguay","CoffeeScript",1
"Chile","Groovy",3
"Colombia","VisualBasic6",2
"Bangladesh","Ruby",4
"Costa Rica","TypeScript",9
"Denmark","Hack",1
"Denmark","VB.NET",3
"Guatemala","Objective-C",1
"Argentina","Go",2
"Uruguay","Swift",3
"Moldavia","Groovy",2
"Polynesia (French)","Java",1
"Polynesia (French)","Objective-C",1
"Polynesia (French)","Ruby",1
"Polynesia (French)","Swift",1
"Croatia","Erlang",2
"Belarus","CoffeeScript",2
"Belarus","Haskell",1
"Belarus","Perl",2
"Belarus","Ruby",8
"Belarus","Rust",2
"Belarus","Scala",1
"Tunisia","Matlab",2
"Cambodia","C",2
"Cambodia","C++",1
"Cambodia","C#",1
"Cambodia","F#",1
"Cambodia","JavaScript",6
"Cambodia","PHP",3
"Cambodia","Ruby",1
"Cambodia","VisualBasic6",1
"Aland Islands","C",4
"Aland Islands","C++",2
"Aland Islands","Go",2
"Aland Islands","Java",3
"New Caledonia (French)","Groovy",1
"New Caledonia (French)","Java",1
"New Caledonia (French)","Perl",1
"New Caledonia (French)","Python",2
"New Caledonia (French)","Ruby",1
"Myanmar","VB.NET",3
"Bahrain","Java",3
"Bahrain","JavaScript",5
"Bahrain","PHP",3
"Bahrain","SQL",3
"Bahrain","Swift",1
"Japan","Hack",1
"Malaysia","R",2
"New Zealand","R",5
"Lithuania","CoffeeScript",3
"Lithuania","R",2
"Lithuania","VBA",4
"Serbia","CommonLisp",1
"Greece","Scala",3
"Sri Lanka","TypeScript",6
"Italy","Dart",2
"Norway","Matlab",7
"South Africa","Lua",3
"Romania","Elixir",2
"Qatar","C",3
"Qatar","Java",3
"Brazil","CommonLisp",2
"Nepal","Elixir",1
"Haiti","JavaScript",1
"Haiti","PHP",1
"Haiti","SQL",1
"Montenegro","Python",3
"Bolivia","Groovy",1
"Bolivia","Java",8
"Egypt","Swift",6
"Algeria","Assembly",2
"Algeria","Matlab",3
"Kenya","Swift",1
"Peru","Objective-C",2
"Peru","Swift",2
"Colombia","Swift",9
"Uganda","C++",3
"Uganda","Objective-C",1
"Uganda","Ruby",1
"Uganda","VB.NET",3
"Puerto Rico","VBA",1
"Ghana","Scala",1
"Colombia","Haskell",4
"Peru","F#",1
"Egypt","Go",1
"Peru","Clojure",1
"Peru","Perl",1
"Egypt","Rust",1
"Tunisia","Objective-C",3
"Slovenia","Clojure",3
"Malaysia","Erlang",2
"Azerbaidjan","C",3
"Azerbaidjan","C++",3
"Azerbaidjan","TypeScript",1
"Thailand","CoffeeScript",1
"Bulgaria","Erlang",1
"Bulgaria","Haskell",3
"Bahrain","C#",2
"Bahrain","VB.NET",1
"Luxembourg","CommonLisp",1
"Luxembourg","Clojure",1
"Luxembourg","Dart",1
"Luxembourg","Elixir",1
"Luxembourg","F#",1
"Luxembourg","Groovy",1
"Luxembourg","Hack",1
"Luxembourg","Haskell",1
"Luxembourg","Julia",1
"Luxembourg","Objective-C",2
"Luxembourg","Perl",1
"Luxembourg","R",1
"Luxembourg","Rust",2
"Luxembourg","Scala",2
"Luxembourg","Smalltalk",1
"Luxembourg","Swift",1
"Luxembourg","VisualBasic6",2
"Afghanistan","Assembly",5
"Lebanon","Objective-C",2
"Pitcairn Island","Python",1
"Pitcairn Island","SQL",1
"Pitcairn Island","VBA",1
"Seychelles","JavaScript",1
"Seychelles","PHP",1
"Seychelles","SQL",1
"China","CommonLisp",2
"Lithuania","Go",4
"Cyprus","C++",4
"Cyprus","Python",3
"Sri Lanka","Go",1
"Singapore","Smalltalk",1
"South Africa","Erlang",2
"Colombia","Clojure",2
"Guinea","C#",1
"Guinea","Java",1
"Guinea","JavaScript",1
"Guinea","PHP",1
"Guinea","Python",1
"Guinea","SQL",1
"Aland Islands","Assembly",1
"Aland Islands","C#",1
"Aland Islands","CommonLisp",1
"Aland Islands","Clojure",2
"Aland Islands","Elixir",1
"Aland Islands","F#",1
"Aland Islands","Hack",1
"Aland Islands","Haskell",2
"Aland Islands","Julia",1
"Aland Islands","Lua",1
"Aland Islands","Matlab",1
"Aland Islands","Objective-C",1
"Aland Islands","Perl",1
"Aland Islands","Python",1
"Aland Islands","R",1
"Aland Islands","Ruby",1
"Aland Islands","Rust",1
"Aland Islands","Scala",2
"Aland Islands","Smalltalk",1
"Aland Islands","SQL",2
"Aland Islands","Swift",2
"Aland Islands","VisualBasic6",1
"Jamaica","Python",4
"Morocco","Dart",2
"Morocco","Lua",2
"Morocco","Rust",1
"Morocco","VB.NET",3
"Egypt","Lua",3
"Mozambique","C",1
"Mozambique","C++",1
"Croatia","Objective-C",9
"Jamaica","C",3
"Denmark","Julia",1
"Costa Rica","Swift",5
"Nigeria","Assembly",6
"Ecuador","CoffeeScript",1
"Ecuador","Objective-C",2
"Ecuador","Swift",2
"Lebanon","F#",1
"Benin","C",1
"Benin","C++",1
"Benin","JavaScript",2
"Benin","PHP",2
"Benin","Python",2
"Benin","SQL",2
"Peru","R",3
"Peru","VBA",5
"Singapore","CommonLisp",3
"Cuba","CommonLisp",1
"Honduras","TypeScript",1
"Belgium","CommonLisp",1
"Belgium","Clojure",3
"Bangladesh","CoffeeScript",1
"Bangladesh","Hack",1
"Ukraine","VBA",2
"Slovak Republic","VisualBasic6",2
"South Korea","CoffeeScript",3
"Bulgaria","Clojure",1
"Cameroon","C#",2
"Cameroon","JavaScript",5
"Cameroon","PHP",4
"Cameroon","VB.NET",1
"Singapore","Groovy",5
"Italy","Clojure",3
"Algeria","VisualBasic6",2
"Georgia","Objective-C",3
"Georgia","Swift",2
"Finland","F#",2
"Saudi Arabia","VBA",1
"Montenegro","JavaScript",5
"Montenegro","PHP",4
"Montenegro","SQL",5
"Belarus","Groovy",1
"Colombia","Julia",1
"Costa Rica","Objective-C",4
"Somalia","Assembly",1
"Somalia","Smalltalk",1
"Somalia","VB.NET",1
"Saudi Arabia","Groovy",1
"Saudi Arabia","Lua",1
"Uzbekistan","Assembly",2
"Uzbekistan","C",3
"Uzbekistan","C++",4
"Uzbekistan","CoffeeScript",2
"Uzbekistan","CommonLisp",1
"Uzbekistan","Clojure",1
"Uzbekistan","Dart",1
"Uzbekistan","Ruby",1
"Uzbekistan","Rust",1
"Uzbekistan","TypeScript",1
"New Zealand","VBA",6
"Mozambique","Ruby",1
"Montenegro","Assembly",2
"Montenegro","C",2
"Pakistan","Lua",4
"Nigeria","Lua",2
"Croatia","Elixir",2
"I prefer not to say","VisualBasic6",4
"Georgia","CoffeeScript",2
"Hong Kong","Rust",1
"Syria","Assembly",1
"Syria","C",1
"Syria","C++",2
"Syria","PHP",3
"Syria","VBA",2
"Kyrgyzstan","JavaScript",2
"Macedonia","VB.NET",4
"Norway","Clojure",1
"Norway","Julia",1
"Tunisia","Groovy",2
"Malta","Go",1
"Cyprus","R",1
"South Africa","CommonLisp",1
"South Africa","Elixir",2
"Latvia","Matlab",2
"Venezuela","Dart",1
"Venezuela","Go",1
"Angola","JavaScript",1
"Angola","PHP",1
"Angola","SQL",1
"Kuwait","C#",3
"Kuwait","TypeScript",2
"Indonesia","Rust",1
"United Arab Emirates","R",1
"Singapore","F#",3
"Lebanon","Groovy",1
"Ethiopia","Assembly",2
"Ethiopia","C",1
"Iraq","C#",3
"Iraq","JavaScript",3
"Iraq","PHP",2
"Iraq","SQL",3
"Jordan","Objective-C",3
"Jordan","Swift",2
"Panama","CoffeeScript",1
"Panama","Ruby",2
"Panama","TypeScript",1
"Ireland","Haskell",8
"Venezuela","VBA",3
"Kazakhstan","TypeScript",1
"Indonesia","Groovy",2
"Lebanon","Go",1
"Nigeria","Perl",3
"Hungary","CommonLisp",1
"Bulgaria","Groovy",3
"Bulgaria","Scala",3
"Antarctica","C++",2
"Antarctica","C#",2
"Antarctica","SQL",3
"Thailand","Haskell",1
"Ethiopia","Groovy",3
"Ethiopia","Ruby",2
"Belgium","Elixir",4
"Madagascar","Assembly",2
"Madagascar","C",2
"Madagascar","C++",2
"Estonia","Lua",2
"Trinidad and Tobago","C#",1
"Trinidad and Tobago","VB.NET",1
"Reunion (French)","C#",1
"Reunion (French)","JavaScript",2
"Reunion (French)","PHP",1
"Reunion (French)","SQL",1
"Reunion (French)","VB.NET",1
"Reunion (French)","VBA",1
"Reunion (French)","VisualBasic6",1
"Germany","Hack",5
"Guyana","C#",1
"Guyana","Python",2
"Niger","VBA",1
"Niger","VisualBasic6",1
"Montenegro","Groovy",1
"Montenegro","Java",3
"Montenegro","Objective-C",1
"Montenegro","R",3
"Guam","C#",1
"Guam","JavaScript",1
"Guam","SQL",1
"Guam","TypeScript",1
"Guam","VB.NET",1
"Guam","VisualBasic6",1
"Antigua and Barbuda","C",2
"Antigua and Barbuda","PHP",2
"Antigua and Barbuda","SQL",1
"Uganda","TypeScript",2
"Uganda","VisualBasic6",2
"Costa Rica","Scala",2
"Belize","C",2
"Belize","C++",2
"Belize","Java",3
"Belize","JavaScript",3
"Belize","PHP",2
"Belize","VB.NET",1
"Chile","Haskell",1
"Singapore","Lua",1
"Singapore","VisualBasic6",2
"Saudi Arabia","VisualBasic6",2
"Slovenia","Erlang",1
"Taiwan","VB.NET",1
"Taiwan","VisualBasic6",1
"Thailand","Lua",3
"Kenya","C",4
"Nigeria","Elixir",2
"Romania","Hack",1
"Togo","C",1
"Togo","C++",1
"Togo","Java",4
"Togo","JavaScript",1
"Togo","PHP",2
"Togo","SQL",3
"Kuwait","C",1
"Kuwait","C++",1
"Kuwait","CommonLisp",1
"Kuwait","PHP",1
"Kuwait","VB.NET",1
"Qatar","SQL",4
"Saudi Arabia","CoffeeScript",1
"Saudi Arabia","TypeScript",2
"Georgia","CommonLisp",1
"Georgia","Clojure",1
"Georgia","Erlang",1
"Georgia","Go",1
"Georgia","Ruby",1
"Georgia","Rust",1
"Netherlands Antilles","C#",1
"Netherlands Antilles","F#",1
"Netherlands Antilles","TypeScript",1
"Montenegro","CommonLisp",1
"Montenegro","Lua",1
"Montenegro","Matlab",1
"Montenegro","VB.NET",2
"Montenegro","VBA",3
"Azerbaidjan","Assembly",3
"Azerbaidjan","CommonLisp",1
"Azerbaidjan","Perl",1
"Azerbaidjan","Rust",1
"Romania","Julia",1
"Senegal","Java",2
"Iran","Hack",7
"Guyana","Go",1
"El Salvador","VB.NET",2
"Mexico","Elixir",1
"Egypt","Ruby",5
"Brazil","Smalltalk",1
"Trinidad and Tobago","TypeScript",1
"Costa Rica","Assembly",3
"Kyrgyzstan","Java",3
"Kyrgyzstan","PHP",1
"Kyrgyzstan","Python",1
"Kyrgyzstan","Swift",2
"Malaysia","Dart",1
"Malaysia","F#",1
"Malaysia","Rust",1
"Malaysia","Smalltalk",1
"South Korea","Elixir",1
"South Korea","Erlang",1
"Ghana","C++",3
"Ghana","R",3
"Rwanda","Scala",1
"Jordan","VBA",1
"Portugal","CoffeeScript",1
"Morocco","VisualBasic6",2
"Ireland","F#",1
"Ghana","Matlab",2
"Ghana","VBA",2
"Kazakhstan","Go",1
"Zambia","Java",2
"Zambia","JavaScript",2
"Zambia","PHP",1
"Zambia","SQL",3
"Uruguay","Objective-C",3
"Chile","Julia",1
"Malta","Objective-C",1
"Ivory Coast (Cote D'Ivoire)","Java",1
"Ivory Coast (Cote D'Ivoire)","JavaScript",1
"Ivory Coast (Cote D'Ivoire)","PHP",1
"Bolivia","TypeScript",1
"Uruguay","Lua",1
"Barbados","C#",2
"Barbados","JavaScript",2
"Barbados","PHP",2
"Barbados","SQL",2
"Anguilla","JavaScript",1
"Anguilla","TypeScript",1
"Jamaica","C++",2
"Jamaica","CoffeeScript",1
"Jamaica","Go",3
"Jamaica","Swift",2
"Jamaica","VB.NET",4
"Jamaica","VBA",1
"Saudi Arabia","Go",1
"Pakistan","Go",1
"Bolivia","C++",3
"Bolivia","Python",3
"Japan","CommonLisp",1
"Afghanistan","VisualBasic6",4
"Vietnam","Go",3
"Lithuania","Haskell",1
"Georgia","Perl",1
"Georgia","Scala",1
"Tunisia","Perl",3
"Hong Kong","Groovy",2
"Moldavia","Go",2
"Tunisia","Go",1
"Tunisia","Haskell",1
"Tunisia","Lua",1
"Tunisia","TypeScript",1
"Nigeria","Scala",4
"Lebanon","R",1
"Algeria","CoffeeScript",1
"Algeria","Erlang",2
"Qatar","PHP",2
"Dominican Republic","Matlab",1
"Colombia","Rust",1
"Venezuela","CoffeeScript",3
"Ecuador","Matlab",2
"Panama","VB.NET",2
"Bahrain","Go",1
"Albania","VB.NET",1
"Kazakhstan","Objective-C",1
"Kazakhstan","Swift",1
"Puerto Rico","Groovy",1
"Cuba","Ruby",1
"Denmark","Assembly",4
"Sudan","C",2
"Sudan","C++",2
"Sudan","C#",1
"Sudan","Go",1
"Sudan","Java",4
"Sudan","Matlab",1
"Sudan","Perl",1
"Sudan","PHP",4
"Sudan","SQL",4
"Sudan","VB.NET",1
"Sudan","VBA",1
"Sudan","VisualBasic6",2
"Costa Rica","F#",1
"Mexico","Smalltalk",1
"Vietnam","Clojure",2
"Vietnam","Scala",2
"Zimbabwe","VB.NET",1
"Bosnia-Herzegovina","Objective-C",1
"Albania","Objective-C",2
"Syria","Java",1
"Syria","Objective-C",1
"Syria","Swift",1
"Indonesia","Matlab",5
"Panama","VBA",1
"Panama","VisualBasic6",1
"Cameroon","C++",3
"Cameroon","Matlab",1
"Cameroon","Python",1
"El Salvador","C",1
"Togo","Groovy",2
"Puerto Rico","C",1
"Puerto Rico","Haskell",1
"Denmark","Erlang",1
"El Salvador","C++",1
"Bangladesh","Perl",1
"Bangladesh","VBA",1
"Zambia","VB.NET",2
"Vietnam","Dart",2
"Antarctica","Java",1
"Antarctica","Objective-C",1
"Turkey","Dart",2
"Kenya","VBA",2
"Denmark","Clojure",2
"Algeria","Perl",1
"Turkey","Hack",1
"Qatar","Python",2
"Qatar","Smalltalk",2
"U.S. Minor Outlying Islands","C",1
"U.S. Minor Outlying Islands","Java",1
"Libya","C",1
"Libya","C++",1
"Libya","C#",1
"Libya","F#",1
"Libya","Java",1
"Libya","JavaScript",1
"Libya","Matlab",1
"Libya","PHP",1
"Libya","Python",1
"Libya","SQL",1
"Libya","VB.NET",1
"Panama","Scala",1
"Thailand","Matlab",3
"Thailand","R",5
"Indonesia","Assembly",3
"Indonesia","Clojure",1
"Indonesia","Lua",3
"Barbados","C",1
"Barbados","C++",1
"Barbados","Java",1
"Barbados","Objective-C",1
"Barbados","Swift",1
"Barbados","VB.NET",1
"Pakistan","VBA",3
"South Korea","Dart",1
"South Korea","Hack",1
"Pakistan","Haskell",1
"Honduras","Swift",1
"Mauritius","C++",1
"Latvia","Swift",2
"Vietnam","VB.NET",3
"Estonia","Elixir",1
"Estonia","Erlang",1
"Estonia","Haskell",1
"Northern Mariana Islands","JavaScript",1
"Northern Mariana Islands","SQL",1
"Northern Mariana Islands","VB.NET",1
"Uzbekistan","PHP",3
"Saint Vincent & Grenadines","Java",1
"Saint Vincent & Grenadines","Objective-C",1
"Switzerland","Hack",1
"Tanzania","Java",5
"Zaire","Java",1
"Senegal","PHP",1
"Senegal","Python",1
"Morocco","Clojure",1
"Morocco","Go",1
"Morocco","Objective-C",1
"Morocco","Swift",1
"Martinique (French)","JavaScript",1
"Martinique (French)","Ruby",1
"Sudan","Assembly",1
"Sudan","JavaScript",2
"Sudan","Objective-C",1
"Sudan","Python",2
"Sudan","Swift",1
"Vietnam","Assembly",2
"Vietnam","Perl",2
"Taiwan","Scala",2
"Finland","Dart",1
"Oman","C#",1
"Belarus","Erlang",1
"Syria","Go",1
"Syria","Python",1
"Syria","Scala",1
"Yemen","C++",2
"Yemen","Java",2
"Yemen","Python",1
"Yemen","SQL",2
"Yemen","Swift",1
"Turkmenistan","C",1
"Turkmenistan","C++",1
"Turkmenistan","C#",1
"Turkmenistan","CoffeeScript",1
"Turkmenistan","Java",1
"Turkmenistan","JavaScript",1
"Turkmenistan","Matlab",1
"Turkmenistan","PHP",1
"Turkmenistan","Python",1
"Turkmenistan","R",1
"Turkmenistan","SQL",1
"Turkmenistan","VB.NET",1
"Turkmenistan","VisualBasic6",1
"Nepal","VBA",2
"Armenia","Assembly",1
"Armenia","Erlang",1
"Indonesia","Hack",1
"Indonesia","Scala",2
"I prefer not to say","VBA",1
"Venezuela","Objective-C",3
"Nigeria","R",2
"Bosnia-Herzegovina","F#",1
"Bosnia-Herzegovina","R",2
"Austria","Dart",1
"Iceland","Ruby",1
"Paraguay","VB.NET",1
"Paraguay","VisualBasic6",1
"Greece","Smalltalk",1
"Macau","C++",1
"Macau","Java",1
"Macau","JavaScript",1
"Macau","Objective-C",1
"Macau","PHP",1
"Macau","Python",1
"Macau","R",1
"Macau","Ruby",1
"Macau","Smalltalk",1
"Macau","SQL",1
"Macau","Swift",1
"Colombia","CommonLisp",1
"Colombia","Dart",1
"Colombia","Erlang",1
"Colombia","F#",1
"Colombia","Hack",1
"Hong Kong","Lua",1
"Zambia","VisualBasic6",1
"Bulgaria","Lua",2
"Bulgaria","Rust",1
"New Zealand","Elixir",3
"Myanmar","TypeScript",1
"Nepal","Assembly",1
"Morocco","TypeScript",2
"Chad","Java",1
"Togo","C#",2
"Togo","VB.NET",2
"Togo","VisualBasic6",1
"Kenya","CoffeeScript",3
"Kenya","Ruby",3
"Czech Republic","Clojure",3
"Kazakhstan","Haskell",1
"Cyprus","CoffeeScript",1
"Cyprus","VisualBasic6",1
"Venezuela","Swift",2
"Slovenia","F#",1
